TeamID,TeamName,Points,TransfersLeft,Efficiency
330120807,ROHSUJ1 TABLE TOPPERS,23193.0,20,210.84545454545454
1009810706,ANSATH,22716.0,8,186.19672131147541
16520605,NCY007,22660.5,2,177.03515625
4160902,Rain stopped play,22258.0,12,188.6271186440678
2030801,Rauls Champion 11,22201.5,20,201.8318181818182
10102,Rommys11,22097.5,7,179.65447154471545
17750507,EBITDA X1,22079.0,20,200.71818181818182
17830904,MP TIGERS,22054.0,11,185.32773109243698
1810205,moukStars,22038.0,14,189.98275862068965
52330408,Shahparth23,22037.5,18,196.76339285714286
3700302,Binoy Shah,21880.5,12,185.42796610169492
530910706,Kaizen XI,21877.0,16,191.90350877192984
3160702,UNLUCKY 11,21867.5,6,176.3508064516129
385330309,Super subs,21778.0,20,197.98181818181817
131600904,Wicket Sensation,21747.0,15,189.10434782608695
873590907,FARHAN9,21745.0,0,167.26923076923077
1930605,Naym msmsr,21739.5,25,207.04285714285714
34090609,Team2Beat,21626.5,22,200.24537037037038
10670802,Gaurav M416,21609.0,16,189.55263157894737
804591007,Kabiraa,21590.5,15,187.74347826086955
676010903,Rajputana Royals,21570.5,17,190.88938053097345
4780909,Cricklewood Crushers,21567.5,7,175.34552845528455
1210410,AshirBadAssss 11,21507.0,16,188.6578947368421
4070807,MsdianXI,21479.5,17,190.08407079646017
290906,Maks XI,21439.0,23,200.3644859813084
826300110,GUJJU TITANS,21434.0,26,206.09615384615384
221820701,Nirav631,21427.0,19,193.03603603603602
32070609,broweneyed,21422.0,19,192.99099099099098
780307,HunterRony,21416.0,33,220.7835051546392
35891007,Jigsaw XI,21416.0,20,194.6909090909091
510409,ChaturChanakyas006,21350.0,17,188.93805309734512
62920802,Happening 11,21337.0,23,199.41121495327104
1560406,SHREY11,21318.0,17,188.65486725663717
4010107,C H I L U,21313.5,18,190.29910714285714
90407,Nikhil007,21270.5,7,172.9308943089431
18840606,DushyCSK,21251.5,24,200.48584905660377
1235960805,AJITM8EF,21245.5,0,163.4269230769231
43380307,ShivitGotThePoints,21226.5,32,216.5969387755102
815580207,Javed 111,21216.5,5,169.732
4490908,Immortals,21152.0,21,194.05504587155963
856560508,Lala khara magicians,21150.0,29,209.40594059405942
189600604,ADB264,21131.5,16,185.3640350877193
3420310,Googlee Strikers,21123.5,21,193.79357798165137
36500702,Dips XI,21104.0,20,191.85454545454544
28081005,FANTABULASTICS,21055.0,14,181.50862068965517
9650110,Fine Legs,21004.5,19,189.22972972972974
981850602,Abhishek  04,20954.0,16,183.80701754385964
222460109,Jay32,20936.5,17,185.2787610619469
699980110,The Invinciblesssss,20906.5,13,178.68803418803418
634241006,Archilleas Asylum XI,20857.5,19,187.90540540540542
46030805,Vinsmoke United,20850.0,25,198.57142857142858
445830709,Krishna9993,20835.0,11,175.08403361344537
583230301,Avnendra11,20818.5,11,174.9453781512605
318790709,Prakzz strikers,20799.5,14,179.30603448275863
808610302,Gooner4781,20795.0,30,207.95
93770905,MAHENDR TITANS 45257,20788.0,16,182.35087719298247
22680505,Kopiltiger,20762.0,9,171.58677685950414
320906,Bhuj ThePrideOfIndia,20725.5,15,180.22173913043477
4580909,AK Panthers,20717.0,0,159.36153846153846
646050905,BanglaXI,20704.5,17,183.22566371681415
941920306,hehehehehsiuuuuuu,20686.0,21,189.77981651376146
976810310,KP GENIES,20652.5,12,175.02118644067798
225470109,Jagsswag,20607.5,24,194.41037735849056
385840904,Dexter,20604.0,26,198.1153846153846
476720902,PHARA140PQ,20602.0,15,179.1478260869565
143600203,VIMAL Aburoad,20598.5,16,180.68859649122808
956411003,kya team hai wah,20593.0,15,179.0695652173913
887860303,Vada Pao XI,20580.0,18,183.75
979930501,Mahboob Rahman,20576.5,32,209.96428571428572
600701,Nays BEASTS,20551.5,9,169.84710743801654
588070304,JOKERS,20546.5,20,186.78636363636363
218890905,The Storm Predators Milan,20546.0,22,190.24074074074073
913790806,24PRASH LIONS,20543.5,23,191.99532710280374
662470810,FAKE ID sorry,20537.5,23,191.9392523364486
832530503,DBCStrikers,20506.5,19,184.74324324324326
972040506,DHARIT Chokshi,20503.5,40,227.81666666666666
471381010,Broken Legged  Warrior,20499.0,25,195.22857142857143
27120103,Mumbai Mavriks,20492.0,24,193.32075471698113
273090105,Sahils1103,20488.5,10,170.7375
18450203,Vipra Vipers,20486.0,21,187.94495412844037
493060703,CHANTAL PERFORMERS,20481.5,1,158.77131782945736
853960210,Thugs of IPL,20481.0,12,173.5677966101695
1170505,360 Degree,20470.5,10,170.5875
997900705,mgspandu7,20466.5,30,204.665
17500702,D   S,20446.0,15,177.7913043478261
47530205,Shang Tsung,20428.5,20,185.71363636363637
701380605,Chourey xi,20426.5,32,208.43367346938774
61010103,RamRRR,20426.0,19,184.018018018018
6180902,P k tul,20422.5,9,168.78099173553719
1052220301,Grand Royal RCB,20410.5,23,190.75233644859813
168160102,Super selctor 11,20406.0,21,187.21100917431193
35860704,Hornsunglory,20399.0,14,175.85344827586206
408930204,Visal Pranav,20371.5,16,178.69736842105263
18190207,Namans Underdogs,20367.5,22,188.58796296296296
297110210,Z N M D,20362.0,17,180.1946902654867
393630809,CHAMPIONS XI,20361.0,18,181.79464285714286
55110604,HaresH poweR XI,20351.0,17,180.09734513274336
9510102,NY tigers,20341.0,11,170.9327731092437
715500803,JMIST5XY,20335.5,20,184.86818181818182
256810804,SHASHAD DREAM TEAM,20320.0,12,172.20338983050848
787291004,World beater,20316.5,24,191.66509433962264
1630510,NABLES,20310.0,17,179.73451327433628
897061001,Daund XI,20306.0,18,181.30357142857142
126970208,Madurai Warrior 04,20304.0,17,179.68141592920355
167810705,Bahu the Champion,20289.5,21,186.1422018348624
223000509,PATEL POWERHOUSE,20288.5,23,189.61214953271028
3650505,Daredevil,20285.0,22,187.82407407407408
86710701,TeamtoBeat2022,20282.0,4,160.96825396825398
2180304,Thrombectomy 11,20276.0,9,167.5702479338843
94570105,AjayPrajapati2003,20275.0,15,176.30434782608697
426180508,DBCGirlhasnoname,20233.0,17,179.05309734513276
788810401,DHINESH DS17,20229.0,14,174.38793103448276
72700309,Flamboyantshaz,20223.0,28,198.26470588235293
440405,The Viktor,20220.5,14,174.31465517241378
13650405,BISHESH00,20213.5,33,208.38659793814432
300630801,Surya 32,20199.5,23,188.7803738317757
850250101,Dream of Windies,20183.5,4,160.18650793650792
600960405,Cazadores IPL,20169.0,4,160.07142857142858
2321008,SL Fantasy Fan,20139.5,23,188.2196261682243
44950404,Immortals Spartans 11,20138.5,23,188.21028037383178
65250410,Purushotam123,20136.0,16,176.6315789473684
30930507,Nihan 11,20136.0,17,178.1946902654867
901420403,ANBU18,20127.5,14,173.51293103448276
21570804,ENIGMA 11s,20120.5,16,176.49561403508773
48350202,VISHAL SKYWALKERS,20115.0,9,166.2396694214876
191390704,Dazzling Desai,20103.0,21,184.43119266055047
636440704,EE SAALAA CUP NAMDHE,20102.0,25,191.44761904761904
597010604,bajrangbali106,20086.0,4,159.4126984126984
9930602,HarrysTitans,20077.5,26,193.0528846153846
421740101,Badgotya Enterprises,20067.5,40,222.97222222222223
1200530403,Carry on 11,20062.0,23,187.49532710280374
44201010,Na avan illai,20061.5,22,185.75462962962962
841560708,SharpyyyXI,20060.0,31,202.62626262626262
374820802,Thunder Wolves,20054.5,22,185.6898148148148
30370209,LoRd Siva09,20052.0,15,174.36521739130436
337240903,vasu225716,20039.0,0,154.14615384615385
20310105,Shayu11,20015.5,22,185.3287037037037
790920304,Gotta Catch Em All,20006.0,21,183.54128440366972
1850101,Srirambiram,20004.0,22,185.22222222222223
937920402,ash72x pro,20001.0,16,175.44736842105263
1032700205,Forged Warriors,20000.0,13,170.94017094017093
17950608,Dhannos ballers,19998.5,13,170.92735042735043
482730502,Dukey Dudes,19997.5,28,196.05392156862746
886580304,Manoj9339,19995.5,21,183.44495412844037
385870809,Kartikg Blasters 11,19989.0,9,165.19834710743802
126161008,siddiqrathod786,19987.5,20,181.70454545454547
810605,Comeback Kings11,19984.0,19,180.03603603603602
579110605,kintesh1,19982.5,25,190.3095238095238
537791006,ronitkrranjan,19971.5,20,181.5590909090909
2830805,joshua4569,19968.5,22,184.8935185185185
1182950604,Third man,19958.5,9,164.94628099173553
147531009,zlatan8119,19947.0,24,188.17924528301887
41070808,Sai Prashanth Zeal,19938.0,25,189.88571428571427
4580703,Prashant Linons,19936.5,12,168.95338983050848
159170703,CHOWDUA CHOSEN ONES,19928.0,9,164.69421487603304
5411002,Zandu Balm,19924.0,16,174.7719298245614
9820509,The Lazers,19922.5,16,174.75877192982455
3610110,RASEL Bangla king,19919.0,18,177.84821428571428
508750604,Bhavatmak 11,19918.0,22,184.42592592592592
145460510,Underdogs,19917.0,25,189.68571428571428
333610308,Ashvin 11,19893.5,11,167.17226890756302
2881010,TheUnknownAcquaintance,19889.5,37,213.86559139784947
41020105,RAKESH DEVILS 112929,19881.0,17,175.93805309734512
827400810,Gannu Men,19872.5,16,174.3201754385965
9310803,Rising Virag,19867.0,28,194.77450980392157
55630908,Maharaja Deba,19859.5,27,192.8106796116505
500280202,Pushpa Raj XI,19857.0,22,183.86111111111111
823590301,Khushivireen,19853.0,10,165.44166666666666
5610309,JPWarriors,19846.0,24,187.22641509433961
218141003,World War 3 2022,19843.5,25,188.9857142857143
981960810,Winner230496,19825.5,20,180.23181818181817
3860607,InIPLtoWinIPL,19806.5,17,175.2787610619469
2630402,OptimistXI,19802.0,25,188.59047619047618
686040502,BlackBox11,19794.5,32,201.98469387755102
964960805,1333,19794.0,20,179.94545454545454
833470307,Pandemic Titans,19793.5,0,152.2576923076923
819770708,master     blaster,19791.5,25,188.4904761904762
202000102,ZombieApocalypse,19786.0,10,164.88333333333333
184391002,RIFAT XL WARRIORS,19776.5,12,167.59745762711864
894280108,Mighty Mad Dashers,19773.5,34,205.97395833333334
1120903,NAMO League,19768.5,22,183.04166666666666
238120410,Namr Rasana,19747.5,0,151.90384615384616
759350506,PRB9059,19745.0,9,163.1818181818182
760150909,Tornado sixers,19744.0,22,182.8148148148148
972170807,DHEERAJ99,19742.0,14,170.18965517241378
1008850509,Evolets,19741.0,11,165.890756302521
3710303,patelutsav10,19728.0,12,167.1864406779661
180801,BRAJESH109,19727.5,17,174.5796460176991
49450101,ANNAS Xi,19719.5,28,193.32843137254903
67110302,King Cricket,19714.0,8,161.59016393442624
